"clean_text","is_reclamation","category","urgency"
طلب معلومات حول حالة حادث السيارة,reclamation,SINISTRE AUTO,faible
"insuffisants comme conseils il faudra aussi porter des gants et avoir des réflecteurs de roues catadioptres un feu rouge fixe ou clignotant et un réflecteur rouge à larrière et enfin un éclairage led blanc fixe à lavant la visibilité et primordiale surtout avec les chauffards que nous rencontrons sur nos routes","reclamation",SINISTRE AUTO,"faible"
"intéressant gafsa non","non_reclamation",NULL,"NULL"
"jadore bonne continuation","non_reclamation",NULL,"NULL"
"jai demandé à assurer ma moto et ftusa ma envoyé chez vous agence à hammamet qui ma donné un prix bien supérieur à ce que ftusa publie sur son site internet et à mes plaintes ils ont répondu que cétait soit ça soit rien tout cela est correct","reclamation","SERVICE CLIENT","elevee"
"jawedi radhia giphy click to view attachment","non_reclamation",NULL,"NULL"
"je vous prie de bien vouloir me communiquer le numéro du service de remorquage qui est en partenariat avec vous sousse merci","reclamation","SERVICE CLIENT","faible"
"jendouba svp","non_reclamation",NULL,"NULL"
"jessaye de minscrire avec mon numéro dadhérent mais je ne reçois pas le sms de confirmation sur mon téléphone portable que faire","reclamation","SERVICE CLIENT","moyenne"
"jexige en tant que femme dêtre bien traité par mon époux par mes fréquentations et je traite bien ceux qui sont bienveillants et les temps que nous protégeons de la rage de la violence par lamour","non_reclamation",NULL,"NULL"
"kalthǿùm tǿùnši par exemple ils ne répondent jamais au téléphone pour donner des informations","reclamation","SERVICE CLIENT","moyenne"
"kàrîm gâhsì kārįm ههههه انا معاهم من2020 بديت 220 صبحوحالي في 285 زيرو امتياز المرة الفايتة زادوني 25 دينار والمرة هذه زادوني 27 دينار والغريب في الامر الزيادةمالڨيتلها حتى أثر في وصل الخلاصزبادة64 في 6اشهر مع العلم عمري ما خلصو عليا حاجة","reclamation","SINISTRE VIE","elevee"
"kef gafsa soussa","non_reclamation",NULL,"NULL"
"khamassi oussema","non_reclamation",NULL,"NULL"
"la réparation de ma voiture est retardée à cause du dossier",reclamation,SINISTRE AUTO,moyenne
"je n’ai pas reçu l’accord pour réparer mon véhicule",reclamation,SINISTRE AUTO,moyenne
"mon dossier accident est en attente depuis plusieurs semaines",reclamation,SINISTRE AUTO,moyenne
"je n’arrive pas à suivre l’état de mon dossier auto",reclamation,SINISTRE AUTO,moyenne
"ma t7asaltch 3la ta3widh ba3d accident",reclamation,SINISTRE AUTO,elevee
"mochkla fi assurance emprunteur mta3i",reclamation,SINISTRE VIE,elevee
"mon dossier incendie est en cours mais ça prend du temps",reclamation,SINISTRE IRDS,moyenne
"j’attends toujours le remboursement du matériel endommagé",reclamation,SINISTRE IRDS,moyenne
"j’ai envoyé les factures mais rien n’a été traité",reclamation,SINISTRE IRDS,moyenne
"kifech linscription",reclamation,"SERVICE CLIENT","faible"
"kol am wantom bi khayer snin dayma","non_reclamation",NULL,"NULL"
"la mae est notre fierté bravo si mourad edited","non_reclamation",NULL,"NULL"
"lassurance des eleves","non_reclamation",NULL,"NULL"
"le ciné club tahar cheriaa à sfax est ouvert à un partenariat pour la promotion de la culture cinématographique et une éducation à limage fixe et animée","non_reclamation",NULL,"NULL"
"mabrouk mejri imen mejri imen","non_reclamation",NULL,"NULL"
"mae assurances agence 101 à barcelone tunis mae assurances","non_reclamation",NULL,"NULL"
"mae assurances bonjour numéro envoyé mae assurances","non_reclamation",NULL,"NULL"
"mae assurances c est fait merci mae assurances","non_reclamation",NULL,"NULL"
"je n’ai pas été remboursé après mon accident",reclamation,SINISTRE AUTO,elevee
"my car accident claim is still pending",reclamation,SINISTRE AUTO,elevee
"mae assurances c fait je lai envoyé mae assurances edited","non_reclamation",NULL,"NULL"
"mae assurances je peut envoyer tous qui justifier la consultation de laxidon mae assurances","non_reclamation",NULL,"NULL"
"mae assurances العاقبة ليا mae assurances","non_reclamation",NULL,"NULL"
"mae assurances دائما في القمة","non_reclamation",NULL,"NULL"
"mae ma chérie عشرةبنينة","non_reclamation",NULL,"NULL"
تعرضت لخسائر في المعدات وما تعوضتش,reclamation,SINISTRE IRDS,elevee
ملف IRDS متاعي مازال ما تقدمش,reclamation,SINISTRE IRDS,moyenne
علاش ما خذيتش تعويض على الأضرار,reclamation,SINISTRE IRDS,elevee
dossier IRDS متاعي واقف وما فما حتى متابعة,reclamation,SINISTRE IRDS,moyenne
"mae تاسست لرجال التعليم من لكنها حادت عن مبادئها والعرض من مهام البلدية أو الولاية وليس له علاقة بالتأمين","non_reclamation",NULL,"NULL"
"mehrez touil منور mehrez touil","non_reclamation",NULL,"NULL"
"3andi mochkla fi assurance décès mta3i",reclamation,SINISTRE VIE,elevee
"el dossier mta3 retraite mazal ma t7allch",reclamation,SINISTRE VIE,moyenne
"mes sincères félicitations","non_reclamation",NULL,"NULL"
"mon assurance a bizerte","non_reclamation",NULL,"NULL"
"ma voiture est endommagée et personne ne répond",reclamation,SINISTRE AUTO,moyenne
"they refused to cover my car damage",reclamation,SINISTRE AUTO,elevee
"mon assurance a bizerte bureau formidable il gère mes contrats dassurance merci","non_reclamation",NULL,"NULL"
"moralement cest une contribution partielle des mauvais conducteurs au profit des bons aux charges des sinistres dont ils causent autrement dit cest une moralisation de la responsabilité civile","non_reclamation",NULL,"NULL"
"nabila khayat sannene asma hs je vous adore nabila khayat sannene asma hs","non_reclamation",NULL,"NULL"
"nchalah 3idek mabrouk wesnin deyma","non_reclamation",NULL,"NULL"
"nchalah ramdhanek mabrouk","non_reclamation",NULL,"NULL"
"my accident insurance claim was rejected",reclamation,SINISTRE AUTO,elevee
"no response about my savings plan",reclamation,SINISTRE VIE,moyenne
"nchallah betawfik lik wnjah yabahi","non_reclamation",NULL,"NULL"
"3amalt accident w ma fama hata radd",reclamation,SINISTRE AUTO,elevee
"el dossier mta3 accident mazal ma t7allch",reclamation,SINISTRE AUTO,moyenne
"oui japprouve jespère que tout le monde se contamine par lamour la bienveillance et le bienfait surtout pour chaque femme alors avec optimisme du temps contre la violence ensemble avec bonne humeur tout va bien","non_reclamation",NULL,"NULL"
"prix de formation","reclamation","SERVICE CLIENT","faible"
"quelle est votre offre de prix","reclamation","SERVICE CLIENT","faible"
"quelle relation avec la mae","reclamation","SERVICE CLIENT","faible"
"my life insurance payout is delayed after death claim",reclamation,SINISTRE VIE,elevee
"issue with my retirement insurance payment",reclamation,SINISTRE VIE,moyenne
"rania bouazizi karim zouabi rania bouazizi karim zouabi","non_reclamation",NULL,"NULL"
"rezgui sabrina rezgui sabrina","non_reclamation",NULL,"NULL"
"rihab akkari epse mdalla asma assouma aloui asma leila kefi rihab akkari epse mdalla asma assouma aloui asma leila kefi","non_reclamation",NULL,"NULL"
"rihém al ssaidani","non_reclamation",NULL,"NULL"
"romdhanekom mabrouk","non_reclamation",NULL,"NULL"
"mon contrat prévoyance ne couvre pas mon cas",reclamation,SINISTRE VIE,elevee
"retard dans le traitement de mon dossier maladie",reclamation,SINISTRE VIE,moyenne
اتصلت برشا مرات وما جاوبني حتى حد,reclamation,SERVICE CLIENT,moyenne
service client ضعيف برشا وما يعاونش,reclamation,SERVICE CLIENT,moyenne
عندي مشكل وما لقيتش حتى مساعدة,reclamation,SERVICE CLIENT,moyenne
support ما يجاوبش على المساجات متاعي,reclamation,SERVICE CLIENT,moyenne
"sa sa tous vos contrats avec la mae assurances sa sa","non_reclamation",NULL,"NULL"
"sabit l application w ki na3mel inscription haw chnou y9olli compte adhérent inexistant merci de vérifier vos informations","reclamation","SERVICE CLIENT","faible"
"seulement pour les étudiants","non_reclamation",NULL,"NULL"
"si helmy gabali and you zadaa moushraf god willing you will be on this to","non_reclamation",NULL,"NULL"
"si lassaad était lun des meilleurs présidents quà connu la star cest un grand monsieur modeste et très compétentil mérite tout le respect bravo","non_reclamation",NULL,"NULL"
"si lassaad zarrouk est un homme exceptionnel un grand monsieur rabi ywaf9ou wi bereklou","non_reclamation",NULL,"NULL"
"svp puis je arrêter temporairement mon assurance et je ne paye quaprès que ma voiture soit réparée et roule ma voiture esr en panne et il lui faut plus que 6 ou 7 mois","reclamation","SINISTRE AUTO","elevee"
"tel coach telle équipe bravo et bonne continuation","non_reclamation",NULL,"NULL"
"témoignage suite à l accident que j ai eu avec le véhicule assuré au nom de ma mère assuré chez vous je tiens à remercier l équipe de la mae – succursale khezamaest sousse pour la qualité de sa prise en charge le traitement du dossier a été rapide fluide et professionnel avec un remboursement en moins d un mois un remerciement particulier à lexpert monsieur riadh ben ayed pour son professionnalisme sa disponibilité et la clarté de ses explications sans hésitation je recommanderai la mae pour la qualité de son service et son sérieux bravo","non_reclamation",NULL,"NULL"
"tenor click to view attachment","non_reclamation",NULL,"NULL"
"je ne reçois pas mon code d’activation",reclamation,SERVICE CLIENT,elevee
"le service client ne répond pas",reclamation,SERVICE CLIENT,elevee
"impossible de contacter le support",reclamation,SERVICE CLIENT,elevee
"problème avec mon compte client",reclamation,SERVICE CLIENT,moyenne
"mon problème n’est toujours pas résolu",reclamation,SERVICE CLIENT,moyenne
"customer support never replies",reclamation,SERVICE CLIENT,elevee
"they ignore my messages",reclamation,SERVICE CLIENT,elevee
"support is not helpful",reclamation,SERVICE CLIENT,faible
"ma9ditech ncontacti support",reclamation,SERVICE CLIENT,elevee
مشكل في التواصل مع خدمة الحرفاء,reclamation,SERVICE CLIENT,elevee
"impossible d’accéder à mon espace client",reclamation,SERVICE CLIENT,elevee
"toujours à lavant garde bravo et bonne continuation","non_reclamation",NULL,"NULL"
"un vrai dirigeant et toujours à lécoute un monsieur égal à sa carrière bon vent pour la suite","non_reclamation",NULL,"NULL"
"urgent je veux bien minscrire","reclamation",SERVICE CLIENT,"faible"
"users gif comment click to view attachment","non_reclamation",NULL,"NULL"
"vive ma tunisie","non_reclamation",NULL,"NULL"
"vraiment excellent","non_reclamation",NULL,"NULL"
"w centre elif djerba","non_reclamation",NULL,"NULL"
"y atil des agences ouvertes le jeudi","reclamation",SERVICE CLIENT,"faible"
"ya rabi ynaj7 bnayti","non_reclamation",NULL,"NULL"
"yekhi wakth tjewbo 3la l formulaire","reclamation",SERVICE CLIENT,"faible"
"mon assurance ne prend pas en charge les réparations de ma voiture",reclamation,SINISTRE AUTO,elevee
"retard important dans le remboursement après accident",reclamation,SINISTRE AUTO,elevee
"expert auto n’est jamais passé voir mon véhicule",reclamation,SINISTRE AUTO,moyenne
"my accident report has not been reviewed yet",reclamation,SINISTRE AUTO,moyenne
"vehicle damage claim still unresolved",reclamation,SINISTRE AUTO,elevee
"t3atlet barcha fel remboursement mta3 accident",reclamation,SINISTRE AUTO,elevee
"ma t7asaltch 3la ta3widh ba3d accident",reclamation,SINISTRE AUTO,elevee
"problème avec expert assurance auto",reclamation,SINISTRE AUTO,moyenne
"اشجار الكلاتوس يجب أن يكون متنوعة ليستفيد منها النحالة يزهر على طول العام كما هو موجود بولاية قفصة وأرجو زراعة نبتةالخروب حتي يستفيد منها اهل المنطقة لما لها فوائد كثيرة وتقاوم الجفاف يجب أن تكون الزراعات مدروسة من اهل الاختصاص وبالتشاور مع رجال المنطقة ولا تقتصر علي الكالاتوس والبندق وشكرا edited","non_reclamation",NULL,"NULL"
"اعاده الله علينا وعليكم باليمن والخير والبركات وكل عام وانتم بألف خير وصحة وعافية اللهم امين والصلاة والسلام على نبينا وحبيبنا محمد وعلى آله وصحبه أجمعين","non_reclamation",NULL,"NULL"
"اعلاش مزرعتوش خروب ولا زيتون","non_reclamation",NULL,"NULL"
"الاهم آمين يارب العالمين","non_reclamation",NULL,"NULL"
"mon assurance refuse de couvrir les dégâts de mon local professionnel",reclamation,SINISTRE IRDS,elevee
"incendie dans mon magasin sans indemnisation",reclamation,SINISTRE IRDS,elevee
"problème avec assurance multirisque entreprise",reclamation,SINISTRE IRDS,moyenne
"my business insurance claim was denied",reclamation,SINISTRE IRDS,elevee
"fire damage compensation not received",reclamation,SINISTRE IRDS,elevee
"responsabilité civile non prise en charge",reclamation,SINISTRE IRDS,elevee
"el assurance ma 7abetch tghati el khsara",reclamation,SINISTRE IRDS,elevee
"mochkla fi dossier responsabilité civile",reclamation,SINISTRE IRDS,moyenne
"التأمين التلمذي","non_reclamation",NULL,"NULL"
"التسجيل متاحف لكل الولايات الكاف معنية ب التسجيل او لا","reclamation",SERVICE CLIENT,"faible"
"السلام عليكم أنا عندي سيارة 106 سيري75 من عام 1995 توة عندها عامين ماخدمتهاش لكن تونحب نعمللها اوراقها نجم تأمينها عندكم ستة أشهر وإلا لا","reclamation","SINISTRE AUTO","faible"
"السلام عليكم عندي استفسار","reclamation",SERVICE CLIENT,"faible"
"السلام عليكم والدي حريف في شركتكم المحترمة منذ عشرين سنة و اليوم يرى حقه في استرجاع حق التأمين في مهب الريح بعد ثلاثة أشهر من الحادث اشتعال السيارة بعد تدخل زملاءكم في شركة التأمين كتاما لو حصل ما يكن في الحسبان ، أجرينا الاجراءات المعمول بها و فتحنا ملف في فرعكم مرجع نظر التأمين و بعد تعيين شركتكم خبير لمعاينة السيارة و اقراره بثبوت الحريق ما راعني الا أن أتلقى اتصال من شركتكم فرع بأن تقرير الخبير المدلى به لدى شركتكم أصبح محل تشكيك و مراجعة و إذ أستغرب تعيينكم خبير ثما تشكيكم في مصداقيه مما أدى إلى رفض الملف و تعيين خبير ثاني اكتفى بالحكم على الحادث دون معاينة مخلفات الحادث و الاكتفاء بمشاهدت صور الخبير لذا أنتظر من شركتكم التدخل العاجل في الملف قبل أن ألتجأ إلى الجامعة التونسية لشركات التأمين و من ثما الى القضاء و التشهير بشركتكم يؤسفني تعامل الزملاء في القطاع مع أبي و أحيطكم علما أنني ماضي قدما بكل الوساءل القانونية في استرجاع حق والدي و لو كلفني ذالك اللجوء الى القضاء مع الشكر","reclamation","SINISTRE AUTO","elevee"
"الف الف مبروك","non_reclamation",NULL,"NULL"
"ألف ألف مبروووك للفائزين","non_reclamation",NULL,"NULL"
"ألف مبروك ، نشالله دائما منورين و متألقين","non_reclamation",NULL,"NULL"
"الف مبروك mae","non_reclamation",NULL,"NULL"
"الف مبروك mae انشاء الله مزيد من التألق","non_reclamation",NULL,"NULL"
"fire damage claim still pending",reclamation,SINISTRE IRDS,elevee
"problem with liability insurance claim",reclamation,SINISTRE IRDS,moyenne
"no compensation after property damage",reclamation,SINISTRE IRDS,elevee
"el matériel mta3i t9assar w ma 3tawni chay",reclamation,SINISTRE IRDS,elevee
"الف مبروك mae بالتوفيق والنجاح انشاء الله","non_reclamation",NULL,"NULL"
"الف مبروك و ان شاء الله مزيد من النجاحات باشراف السيد امين حمدي رئيس مجلس الإدارة و كافة مساعديه و السيد لسعد زروق المدير العام للameو لكافة الإطارات و الموظفين بالإدارة المركزية و بكافة الفروع","non_reclamation",NULL,"NULL"
"الف مبروك وإن شاء الله بمزيد من التالق والتوفيق","non_reclamation",NULL,"NULL"
"الف مبروك وان شاءالله بتوفيق","non_reclamation",NULL,"NULL"
"الف مبروك وبمزيد من التألق والنجاح ان شآء آلله","non_reclamation",NULL,"NULL"
"الف مبروووك لتتويج التعاونية بجائزة brands awards كأفضل علامة في قطاع التأمين في تونس هو تتويج لمسيرة من الالتزام، العمل الجاد، وجودة الخدمات المقدّمة، قبل كل شيء ثقة حرفائنا الكرام كل الشكر لكل من ساهم في هذا النجاح من قريب أو بعيد، مزيدًا من التألّق والإنجازات ان شاء الله edited","non_reclamation",NULL,"NULL"
"الف مبروووك للتعاونية وللمشرفين عليها","non_reclamation",NULL,"NULL"
"الف مبروووووك","non_reclamation",NULL,"NULL"
"الف مبروووووك و بالتوفيق انشاء الله","non_reclamation",NULL,"NULL"
"اللهم اعنا على صيامه وقيامه واجعلنا فيه من المعتوقين من النيران","non_reclamation",NULL,"NULL"
"اللهم امين يا رب العالمين اللهم امين يا رب العالمين","non_reclamation",NULL,"NULL"
"اللهم امين يارب","non_reclamation",NULL,"NULL"
"اللهم امين يارب العالمين","non_reclamation",NULL,"NULL"
"اللهم آمين يارب العالمين","non_reclamation",NULL,"NULL"
"problème dans le versement de mon épargne collective",reclamation,SINISTRE VIE,elevee
"je n’ai pas reçu mes indemnités après accident",reclamation,SINISTRE AUTO,elevee
"اللهم آمين يارب العالمين بالسداد و التوفيق","non_reclamation",NULL,"NULL"
"اللهم امين يارب العالمين ربي يوفقهم ويسعدهم وانشاءالله بنجاح وتوفيق لبنتي والناس لكل","non_reclamation",NULL,"NULL"
"اللهم اميين ياربي العالمين","non_reclamation",NULL,"NULL"
"اللهم امييييين يا رب العالمين","non_reclamation",NULL,"NULL"
"اللهم صل وسلم وزد وبارك على سيدنا محمد وعلى اله وصحبه اجمعين عدد خلق الله ورضانفس الله وزنة عرش الله ومداد كلماته ا","non_reclamation",NULL,"NULL"
"انا ديجا ننتمي للاسرة التربوية","non_reclamation",NULL,"NULL"
"انا عندي اكثر من عشرة سنوات وانا مؤمن سيارتي معاهم نحب لو تعملوا لنا تأمين على المرض","non_reclamation",NULL,"NULL"
"انا مؤمن سيارتي معاكم والخلاص يزيد والا يقعد نفس السعر المطلوب ؟ و الوثيقة الي باش نستظهروا بيها والي تلسق على المرآة من الخارج نجموا نخرجوها من الموقع ؟؟","reclamation","SERVICE CLIENT","moyenne"
"انشاء الله بالتوفيق","non_reclamation",NULL,"NULL"
"انشاء الله بالتوفيق و النجاح ⚘️⚘️⚘️","non_reclamation",NULL,"NULL"
"je n’ai pas reçu la pension de retraite",reclamation,SINISTRE VIE,elevee
"retard dans le paiement assurance décès",reclamation,SINISTRE VIE,elevee
"problème dans mon contrat épargne",reclamation,SINISTRE VIE,moyenne
"my retirement payment is missing",reclamation,SINISTRE VIE,elevee
"life insurance claim still under review",reclamation,SINISTRE VIE,moyenne
"issue with savings insurance account",reclamation,SINISTRE VIE,moyenne
"el dossier retraite mta3i wa9ef",reclamation,SINISTRE VIE,moyenne
"ma fama hata ta3widh assurance décès",reclamation,SINISTRE VIE,elevee
"je n’ai pas été remboursé après mon accident",reclamation,SINISTRE AUTO,elevee
"mon dossier sinistre auto est bloqué depuis des semaines",reclamation,SINISTRE AUTO,elevee
"انشاء الله بالتوفيق والنجاح ألف مبروك","non_reclamation",NULL,"NULL"
"انشاء الله بالتوفيق والنجاح مبروك mae assurance","non_reclamation",NULL,
"انشاء الله رمضانكم مبارك وكل عام وانتم بخير وصحة وعافيه","non_reclamation",NULL,"NULL"
"انشاء الله مبروك","non_reclamation",NULL,"NULL"
"mon dossier décès emprunteur est bloqué",reclamation,SINISTRE VIE,elevee
"aucune réponse concernant mon assurance retraite",reclamation,SINISTRE VIE,moyenne
"aucune réponse après déclaration d’accident",reclamation,SINISTRE AUTO,moyenne
"my car accident claim is still pending",reclamation,SINISTRE AUTO,elevee
"انشاء الله مبروك علينا","non_reclamation",NULL,"NULL"
"انشاء الله مبروك علينا الكل انشاء الله بالرزق والخير","non_reclamation",NULL,"NULL"
"انشاء الله مربوحة يارب","non_reclamation",NULL,"NULL"
"انشاء الله مولدكم مبروك","non_reclamation",NULL,"NULL"
"no update on my accident case",reclamation,SINISTRE AUTO,moyenne
رفضوا تعويضي بعد الحادث,reclamation,SINISTRE AUTO,elevee
"انشاء مبروك علينا وعلى بلادنا تونس ١","non_reclamation",NULL,"NULL"
"انشاء مولد نبوي مبارك عليكم و على كافة المسلمين","non_reclamation",NULL,"NULL"
"delay in car accident compensation",reclamation,SINISTRE AUTO,moyenne
"3amalt accident w ma fama hata radd",reclamation,SINISTRE AUTO,elevee
"إنشاءاللله ديما تعاونية ناجحة و متألقة edited","non_reclamation",NULL,"NULL"
"mon matériel informatique endommagé n’a pas été remboursé",reclamation,SINISTRE IRDS,elevee
"je souhaite des informations sur mon contrat",reclamation,SERVICE CLIENT,faible
"pouvez-vous me dire l’état de mon dossier",reclamation,SERVICE CLIENT,faible
"je veux juste vérifier mon dossier",reclamation,SERVICE CLIENT,faible
"demande d’information concernant mon assurance",reclamation,SERVICE CLIENT,faible
"je voudrais comprendre les démarches",reclamation,SERVICE CLIENT,faible
"je n’ai reçu aucune indemnisation après l’incendie de mon local",reclamation,SINISTRE IRDS,elevee
"إنشاءاللله مبروك علينا جميعا","non_reclamation",NULL,"NULL"
"je n’arrive pas à accéder à mon compte",reclamation,SERVICE CLIENT,elevee
"le support technique ne répond pas à mes mails",reclamation,SERVICE CLIENT,elevee
"mon problème reste sans solution",reclamation,SERVICE CLIENT,moyenne
"customer service is very slow",reclamation,SERVICE CLIENT,moyenne
"service très rapide merci",non_reclamation,,faible
